231	4571	6579	7780	3932
227	8891	8290	3131	990
4698	8048	5121	625	4420
3676	7242	3243	4523	5202
6825	3673	2551	9058	6207
8827	9473	4843	9435	4596
3689	9030	2599	4472	3978
582	2564	2935	2540	6803
3498	2731	5962	6801	6342
6309	4705	3452	7228	3352
2475	3759	5158	2225	2487
3200	3460	4325	4439	4279
2379	3609	5917	5964	5722
7661	1926	7595	5842	3035
3312	4852	4458	5898	8088
131	6756	4874	4374	6508
7275	6810	9189	3201	7558
5536	5513	5298	6567	1285
2891	7349	9351	2950	6356
402	3486	7508	232	6092
2307	5327	7225	7749	1948
2476	9345	5746	2769	6054
4284	9302	571	2668	1210
4916	560	1725	5651	496
6610	6953	8636	7600	6838
4835	2438	2813	9098	8716
7008	6873	2096	6569	1456
7714	8089	568	982	5204
5103	2491	4050	4363	2755
2246	6750	746	9108	4926
3275	2614	8910	9908	6618
2460	8516	2592	4470	5080
7252	4860	5405	9680	1211
2660	4791	8169	4453	9054
5315	7155	6998	4326	4362
6244	885	4429	457	1099
4391	4783	8680	5541	8723
8899	2913	3049	3501	1395
2953	303	4920	6102	4115
7540	1791	3079	9662	8112
2521	7233	8149	8267	2084
8522	321	3799	1184	5606
4906	2808	7396	5463	3195
5989	4635	1551	9619	7354
1041	6843	964	585	1955
3025	1421	219	6534	140
3306	5091	7116	2076	9171
9791	3064	2748	688	2540
2705	1564	85	7273	9319
6392	679	7917	5247	9736
92	9517	1309	474	4458
5582	3504	9213	1304	109
1069	3431	880	8308	3266
3255	3983	9567	7971	1840
7982	4362	7204	1122	2106
1826	7303	8111	2565	2101
5255	6861	2865	1960	4999
1562	732	9373	8128	5532
8625	5466	1585	9432	7220
4067	7664	6110	5993	69
8616	5980	3933	323	48
9705	2265	1828	7238	4553
4707	8570	54	4550	9610
7451	5795	9300	1497	9444
2319	7336	1555	6555	3674
454	6198	6396	6635	4840
4208	2232	3596	4291	5688
10	5019	3228	2682	9850
5989	7399	7070	1443	1952
4872	324	9367	8462	2361
2277	6270	8060	7147	8134
4371	9946	8488	9661	4537
5203	4579	1471	5738	9992
260	55	2477	2807	602
6399	9245	652	9855	7386
2154	353	7180	9200	823
4262	8791	3825	5328	3257
4007	2817	4862	8045	8973
6831	4162	7327	4753	7058
6426	4364	5577	3876	632
511	5502	2103	8292	6430
4687	5757	3013	5985	8262
5406	4580	8101	5581	4166
5847	2896	1594	5161	8371
1084	9457	3363	50	4684
633	2044	7315	1771	2628
1599	2443	4810	47	5725
8386	728	852	5615	9400
3830	7284	4630	9221	3916
4209	5901	4749	7794	6878
7539	9206	8464	8204	9942
5500	1775	2330	495	6649
2845	4135	2056	9563	8610
347	8478	435	580	8972
4521	1989	5900	3776	6155
7460	7467	8376	1675	1762
6635	1070	3360	7844	4789
7778	871	1406	1749	7005
6883	7028	116	1556	3556
6428	4698	5505	6767	2397
142	6276	335	6561	5058
8565	6736	9900	8153	4049
2049	3099	595	2857	2429
9124	2069	9507	9097	1731
203	9668	5137	1555	235
110	4497	6821	9600	5425
1300	9888	3659	7401	754
742	314	6634	9139	4195
44	3750	3007	9809	8054
2802	9084	1373	7481	9764
5126	7381	7233	1141	3473
5849	6234	2253	7835	9691
7587	4639	9235	6805	4978
8304	2839	986	634	3227
479	6964	5695	9973	9670
1746	1126	9954	6198	8201
664	8233	3438	3346	8732
8007	263	2391	497	775
8946	1272	8225	5016	3000
7132	9612	3566	7044	9116
9807	7172	9034	1099	3676
3851	9928	7658	7743	9518
3106	164	1652	1062	6509
6928	803	386	2526	5021
1706	8487	6202	4700	5811
7049	2643	31	5958	974
7375	9077	5358	2619	6052
299	7242	7142	2603	8625
1386	6398	1215	761	9666
9718	1499	2470	299	3999
2089	5014	825	4698	9766
6764	8763	7916	9543	9140
4030	9679	1716	8306	1470
590	2697	8827	5171	1602
7681	8384	1940	377	1723
5178	3619	1167	61	4298
8748	7768	2256	9895	5788
9892	6644	4807	4280	8722
9676	3425	5002	2612	7634
1193	5455	5607	1780	4534
4278	3872	4366	2907	6536
969	430	3212	1046	4153
8645	2650	8649	2952	7433
5613	8074	2825	6313	847
6891	9843	8397	186	5273
2510	2393	5449	7072	7501
1371	7211	2297	7818	1768
4310	9056	1720	6953	4667
9001	3478	8460	2051	9693
3333	4527	7867	6812	7733
122	852	626	4926	2118
7855	5620	9928	8046	8977
4320	4011	8958	8367	7771
3608	5147	4493	7129	2648
4767	3664	5426	7967	4879
6354	3300	779	2076	7351
6304	368	225	6772	1618
6465	9625	7956	1150	1914
5507	1638	1587	334	2111
462	950	5826	3334	7800
9519	3222	9892	9261	6566
8344	2020	8887	4941	5276
6628	8672	9745	1575	6804
3741	9196	2143	5967	2376
2160	39	5645	6811	9230
9688	4670	4884	94	4262
1942	4230	5296	9092	5441
4079	5636	3286	8337	9563
5829	482	710	1327	6734
